"id","display_name","payment_term_type","payment_term_count","note","line_ids/day_of_the_month","line_ids/id","line_ids/days","line_ids/option","line_ids/sequence","line_ids/value","line_ids/value_amount"
"","","","","","10","__export__.account_payment_term_line_36_63ffae6e1a82b","210","dias após a data da fatura","16","Saldo","0.0"
"__export__.account_payment_term_19_63ffae6e1a867","recorrencia_9x","Recorrência","9","Recorrência em 9 meses","0","__export__.account_payment_term_line_37_63ffae6e1a8a0","0","dias após a data da fatura","9","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_38_63ffae6e1a8e0","30","dias após a data da fatura","10","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_39_63ffae6e1a91f","60","dias após a data da fatura","11","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_40_63ffae6e1a961","90","dias após a data da fatura","12","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_41_63ffae6e1a9a1","120","dias após a data da fatura","13","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_42_63ffae6e1a9e1","150","dias após a data da fatura","14","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_43_63ffae6e1aa20","180","dias após a data da fatura","15","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_44_63ffae6e1aa60","210","dias após a data da fatura","16","Percentual","11.1111"
"","","","","","10","__export__.account_payment_term_line_45_63ffae6e1aa9f","240","dias após a data da fatura","17","Saldo","0.0"
"__export__.account_payment_term_20_63ffae6e1aadb","recorrencia_10x","Recorrência","10","Recorrência em 10 meses","0","__export__.account_payment_term_line_46_63ffae6e1ab15","0","dias após a data da fatura","9","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_47_63ffae6e1ab54","30","dias após a data da fatura","10","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_48_63ffae6e1ab94","60","dias após a data da fatura","11","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_49_63ffae6e1abd3","90","dias após a data da fatura","12","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_50_63ffae6e1ac12","120","dias após a data da fatura","13","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_51_63ffae6e1ac52","150","dias após a data da fatura","14","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_52_63ffae6e1ac91","180","dias após a data da fatura","15","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_53_63ffae6e1acd1","210","dias após a data da fatura","16","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_54_63ffae6e1ad10","240","dias após a data da fatura","17","Percentual","10.0"
"","","","","","10","__export__.account_payment_term_line_55_63ffae6e1ad51","270","dias após a data da fatura","18","Saldo","0.0"
"__export__.account_payment_term_21_63ffae6e1ad8e","recorrencia_11x","Recorrência","11","Recorrência em 11 meses","0","__export__.account_payment_term_line_56_63ffae6e1adc7","0","dias após a data da fatura","9","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_57_63ffae6e1ae07","30","dias após a data da fatura","10","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_58_63ffae6e1ae46","60","dias após a data da fatura","11","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_59_63ffae6e1ae86","90","dias após a data da fatura","12","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_60_63ffae6e1aec5","120","dias após a data da fatura","13","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_61_63ffae6e1af05","150","dias após a data da fatura","14","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_62_63ffae6e1af45","180","dias após a data da fatura","15","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_63_63ffae6e1af84","210","dias após a data da fatura","16","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_64_63ffae6e1afc6","240","dias após a data da fatura","17","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_65_63ffae6e1b006","270","dias após a data da fatura","18","Percentual","9.0909"
"","","","","","10","__export__.account_payment_term_line_66_63ffae6e1b045","300","dias após a data da fatura","19","Saldo","0.0"
"__export__.account_payment_term_22_63ffae6e1b081","recorrencia_12x","Recorrência","12","Recorrência em 12 meses","0","__export__.account_payment_term_line_67_63ffae6e1b0ba","0","dias após a data da fatura","9","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_68_63ffae6e1b0fa","30","dias após a data da fatura","10","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_69_63ffae6e1b13b","60","dias após a data da fatura","11","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_70_63ffae6e1b17b","90","dias após a data da fatura","12","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_71_63ffae6e1b1bb","120","dias após a data da fatura","13","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_72_63ffae6e1b1fa","150","dias após a data da fatura","14","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_73_63ffae6e1b23a","180","dias após a data da fatura","15","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_74_63ffae6e1b279","210","dias após a data da fatura","16","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_75_63ffae6e1b2b9","240","dias após a data da fatura","17","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_76_63ffae6e1b2f8","270","dias após a data da fatura","18","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_77_63ffae6e1b338","300","dias após a data da fatura","19","Percentual","8.3333"
"","","","","","10","__export__.account_payment_term_line_78_63ffae6e1b377","330","dias após a data da fatura","20","Saldo","0.0"
"__export__.account_payment_term_23_63ffae6e1b3b3","recorrencia_13x","Recorrência","13","Recorrência em 13 meses","0","__export__.account_payment_term_line_79_63ffae6e1b3ec","0","dias após a data da fatura","9","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_80_63ffae6e1b42c","30","dias após a data da fatura","10","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_81_63ffae6e1b46b","60","dias após a data da fatura","11","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_82_63ffae6e1b4ab","90","dias após a data da fatura","12","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_83_63ffae6e1b4ea","120","dias após a data da fatura","13","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_84_63ffae6e1b52c","150","dias após a data da fatura","14","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_85_63ffae6e1b56b","180","dias após a data da fatura","15","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_86_63ffae6e1b5ab","210","dias após a data da fatura","16","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_87_63ffae6e1b5eb","240","dias após a data da fatura","17","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_88_63ffae6e1b606","270","dias após a data da fatura","18","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_89_63ffae6e1b646","300","dias após a data da fatura","19","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_90_63ffae6e1b686","330","dias após a data da fatura","20","Percentual","7.6923"
"","","","","","10","__export__.account_payment_term_line_91_63ffae6e1b6c5","360","dias após a data da fatura","21","Saldo","0.0"
"__export__.account_payment_term_24_63ffae6e1b702","recorrencia_14x","Recorrência","14","Recorrência em 14 meses","0","__export__.account_payment_term_line_92_63ffae6e1b73a","0","dias após a data da fatura","9","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_93_63ffae6e1b77a","30","dias após a data da fatura","10","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_94_63ffae6e1b7b9","60","dias após a data da fatura","11","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_95_63ffae6e1b7f9","90","dias após a data da fatura","12","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_96_63ffae6e1b83b","120","dias após a data da fatura","13","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_97_63ffae6e1b87b","150","dias após a data da fatura","14","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_98_63ffae6e1b8ba","180","dias após a data da fatura","15","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_99_63ffae6e1b8fa","210","dias após a data da fatura","16","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_100_63ffae6e1b93b","240","dias após a data da fatura","17","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_101_63ffae6e1b97b","270","dias após a data da fatura","18","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_102_63ffae6e1b9ba","300","dias após a data da fatura","19","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_103_63ffae6e1b9fa","330","dias após a data da fatura","20","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_104_63ffae6e1ba3a","360","dias após a data da fatura","21","Percentual","7.1429"
"","","","","","10","__export__.account_payment_term_line_105_63ffae6e1ba79","390","dias após a data da fatura","22","Saldo","0.0"
"__export__.account_payment_term_25_63ffae6e1bab5","recorrencia_15x","Recorrência","15","Recorrência em 15 meses","0","__export__.account_payment_term_line_106_63ffae6e1baee","0","dias após a data da fatura","9","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_107_63ffae6e1bb2e","30","dias após a data da fatura","10","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_108_63ffae6e1bb6d","60","dias após a data da fatura","11","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_109_63ffae6e1bbad","90","dias após a data da fatura","12","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_110_63ffae6e1bbec","120","dias após a data da fatura","13","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_111_63ffae6e1bc2c","150","dias após a data da fatura","14","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_112_63ffae6e1bc6b","180","dias após a data da fatura","15","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_113_63ffae6e1bcab","210","dias após a data da fatura","16","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_114_63ffae6e1bcea","240","dias após a data da fatura","17","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_115_63ffae6e1bd2c","270","dias após a data da fatura","18","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_116_63ffae6e1bd6c","300","dias após a data da fatura","19","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_117_63ffae6e1bdab","330","dias após a data da fatura","20","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_118_63ffae6e1bdeb","360","dias após a data da fatura","21","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_119_63ffae6e1be2a","390","dias após a data da fatura","22","Percentual","6.6667"
"","","","","","10","__export__.account_payment_term_line_120_63ffae6e1be6a","420","dias após a data da fatura","23","Saldo","0.0"
"__export__.account_payment_term_26_63ffae6e1bea6","recorrencia_16x","Recorrência","16","Recorrência em 16 meses","0","__export__.account_payment_term_line_121_63ffae6e1bedf","0","dias após a data da fatura","9","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_122_63ffae6e1bf1e","30","dias após a data da fatura","10","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_123_63ffae6e1bf5e","60","dias após a data da fatura","11","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_124_63ffae6e1bf9d","90","dias após a data da fatura","12","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_125_63ffae6e1bfdd","120","dias após a data da fatura","13","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_126_63ffae6e1c01c","150","dias após a data da fatura","14","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_127_63ffae6e1c05c","180","dias após a data da fatura","15","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_128_63ffae6e1c09b","210","dias após a data da fatura","16","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_129_63ffae6e1c0dd","240","dias após a data da fatura","17","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_130_63ffae6e1c11e","270","dias após a data da fatura","18","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_131_63ffae6e1c15e","300","dias após a data da fatura","19","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_132_63ffae6e1c19e","330","dias após a data da fatura","20","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_133_63ffae6e1c1dd","360","dias após a data da fatura","21","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_134_63ffae6e1c21d","390","dias após a data da fatura","22","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_135_63ffae6e1c25c","420","dias após a data da fatura","23","Percentual","6.25"
"","","","","","10","__export__.account_payment_term_line_136_63ffae6e1c29c","450","dias após a data da fatura","24","Saldo","0.0"
"__export__.account_payment_term_27_63ffae6e1c2d8","recorrencia_17x","Recorrência","17","Recorrência em 17 meses","0","__export__.account_payment_term_line_137_63ffae6e1c311","0","dias após a data da fatura","9","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_138_63ffae6e1c350","30","dias após a data da fatura","10","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_139_63ffae6e1c390","60","dias após a data da fatura","11","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_140_63ffae6e1c3cf","90","dias após a data da fatura","12","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_141_63ffae6e1c40f","120","dias após a data da fatura","13","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_142_63ffae6e1c44f","150","dias após a data da fatura","14","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_143_63ffae6e1c48e","180","dias após a data da fatura","15","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_144_63ffae6e1c4cd","210","dias após a data da fatura","16","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_145_63ffae6e1c50f","240","dias após a data da fatura","17","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_146_63ffae6e1c54f","270","dias após a data da fatura","18","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_147_63ffae6e1c58e","300","dias após a data da fatura","19","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_148_63ffae6e1c5a6","330","dias após a data da fatura","20","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_149_63ffae6e1c5e7","360","dias após a data da fatura","21","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_150_63ffae6e1c627","390","dias após a data da fatura","22","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_151_63ffae6e1c667","420","dias após a data da fatura","23","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_152_63ffae6e1c6a6","450","dias após a data da fatura","24","Percentual","5.8824"
"","","","","","10","__export__.account_payment_term_line_153_63ffae6e1c6e6","480","dias após a data da fatura","25","Saldo","0.0"
"__export__.account_payment_term_28_63ffae6e1c722","recorrencia_18x","Recorrência","18","Recorrência em 18 meses","0","__export__.account_payment_term_line_154_63ffae6e1c75b","0","dias após a data da fatura","9","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_155_63ffae6e1c79b","30","dias após a data da fatura","10","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_156_63ffae6e1c7da","60","dias após a data da fatura","11","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_157_63ffae6e1c81a","90","dias após a data da fatura","12","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_158_63ffae6e1c859","120","dias após a data da fatura","13","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_159_63ffae6e1c899","150","dias após a data da fatura","14","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_160_63ffae6e1c8d8","180","dias após a data da fatura","15","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_161_63ffae6e1c91a","210","dias após a data da fatura","16","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_162_63ffae6e1c95a","240","dias após a data da fatura","17","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_163_63ffae6e1c99c","270","dias após a data da fatura","18","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_164_63ffae6e1c9dc","300","dias após a data da fatura","19","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_165_63ffae6e1ca1b","330","dias após a data da fatura","20","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_166_63ffae6e1ca5b","360","dias após a data da fatura","21","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_167_63ffae6e1ca9a","390","dias após a data da fatura","22","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_168_63ffae6e1cada","420","dias após a data da fatura","23","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_169_63ffae6e1cb19","450","dias após a data da fatura","24","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_170_63ffae6e1cb59","480","dias após a data da fatura","25","Percentual","5.5556"
"","","","","","10","__export__.account_payment_term_line_171_63ffae6e1cb98","510","dias após a data da fatura","26","Saldo","0.0"
"__export__.account_payment_term_29_63ffae6e1cbd5","recorrencia_19x","Recorrência","19","Recorrência em 19 meses","0","__export__.account_payment_term_line_172_63ffae6e1cc0d","0","dias após a data da fatura","9","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_173_63ffae6e1cc4d","30","dias após a data da fatura","10","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_174_63ffae6e1cc8d","60","dias após a data da fatura","11","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_175_63ffae6e1cccc","90","dias após a data da fatura","12","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_176_63ffae6e1cd0e","120","dias após a data da fatura","13","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_177_63ffae6e1cd4e","150","dias após a data da fatura","14","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_178_63ffae6e1cd8d","180","dias após a data da fatura","15","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_179_63ffae6e1cdcd","210","dias após a data da fatura","16","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_180_63ffae6e1ce0c","240","dias após a data da fatura","17","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_181_63ffae6e1ce4c","270","dias após a data da fatura","18","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_182_63ffae6e1ce8c","300","dias após a data da fatura","19","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_183_63ffae6e1cecb","330","dias após a data da fatura","20","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_184_63ffae6e1cf0b","360","dias após a data da fatura","21","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_185_63ffae6e1cf4b","390","dias após a data da fatura","22","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_186_63ffae6e1cf8a","420","dias após a data da fatura","23","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_187_63ffae6e1cfca","450","dias após a data da fatura","24","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_188_63ffae6e1d009","480","dias após a data da fatura","25","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_189_63ffae6e1d049","510","dias após a data da fatura","26","Percentual","5.2632"
"","","","","","10","__export__.account_payment_term_line_190_63ffae6e1d088","540","dias após a data da fatura","27","Saldo","0.0"
"__export__.account_payment_term_30_63ffae6e1d0c4","recorrencia_20x","Recorrência","20","Recorrência em 20 meses","0","__export__.account_payment_term_line_191_63ffae6e1d0ff","0","dias após a data da fatura","9","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_192_63ffae6e1d13f","30","dias após a data da fatura","10","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_193_63ffae6e1d17f","60","dias após a data da fatura","11","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_194_63ffae6e1d1be","90","dias após a data da fatura","12","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_195_63ffae6e1d1fd","120","dias após a data da fatura","13","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_196_63ffae6e1d23f","150","dias após a data da fatura","14","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_197_63ffae6e1d27f","180","dias após a data da fatura","15","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_198_63ffae6e1d2be","210","dias após a data da fatura","16","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_199_63ffae6e1d2fe","240","dias após a data da fatura","17","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_200_63ffae6e1d33d","270","dias após a data da fatura","18","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_201_63ffae6e1d37c","300","dias após a data da fatura","19","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_202_63ffae6e1d3bc","330","dias após a data da fatura","20","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_203_63ffae6e1d3fb","360","dias após a data da fatura","21","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_204_63ffae6e1d43a","390","dias após a data da fatura","22","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_205_63ffae6e1d47a","420","dias após a data da fatura","23","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_206_63ffae6e1d4b9","450","dias após a data da fatura","24","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_207_63ffae6e1d4fa","480","dias após a data da fatura","25","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_208_63ffae6e1d53a","510","dias após a data da fatura","26","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_209_63ffae6e1d583","540","dias após a data da fatura","27","Percentual","5.0"
"","","","","","10","__export__.account_payment_term_line_210_63ffae6e1d5c4","570","dias após a data da fatura","28","Saldo","0.0"
"__export__.account_payment_term_31_63ffae6e1d600","recorrencia_21x","Recorrência","21","Recorrência em 21 meses","0","__export__.account_payment_term_line_211_63ffae6e1d639","0","dias após a data da fatura","9","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_212_63ffae6e1d679","30","dias após a data da fatura","10","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_213_63ffae6e1d6b9","60","dias após a data da fatura","11","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_214_63ffae6e1d6f8","90","dias após a data da fatura","12","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_215_63ffae6e1d738","120","dias após a data da fatura","13","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_216_63ffae6e1d777","150","dias após a data da fatura","14","Percentual","4.7619"
"","","","","","10","__export__.account_payment_term_line_217_63ffae6e1d7b7","180","dias após a data da fatura","15","Percentual","4.7619"
